"QUOTE_TRANSCRIPTION", "ANCHOR", "LENGTH", "EMOTION"
"Merkwaardigerwijs", "char-offset:36392", "length:17", "emotion:Verwondering"
"u bent nooit bang geweest voor", "char-offset:37809", "length:30", "emotion:Angst"
"niet zo goed afgelopen met ons", "char-offset:38086", "length:30", "emotion:Teleurstelling?"
"Glimlacht", "char-offset:4363", "length:9", "emotion:Trots/Bravoure"
"Lacht", "char-offset:4367", "length:5", "emotion:Trots/Bravoure"
"het was wel een alleraardigste kerel", "char-offset:43625", "length:36", "emotion:Genegenheid"
"Ik voelde me ook een beetje vaderlijk", "char-offset:43677", "length:37", "emotion:Genegenheid"
"Helaas", "char-offset:43983", "length:6", "emotion:Teleurstelling"
"Jazeker!", "char-offset:32637", "length:8", "emotion:Trots"
"met heel veel passie", "char-offset:46777", "length:20", "emotion:Betrokkenheid"
"Dat het een groot wonder is", "char-offset:47166", "length:27", "emotion:Ontzag"
"Respect voor de zee", "char-offset:47387", "length:19", "emotion:Respect"
"Het heeft me in ieder geval nooit angst", "char-offset:47557", "length:39", "emotion:Angst"
"Dat was een indrukwekkende, indrukwekkende moment", "char-offset:48757", "length:49", "emotion:Ontzag"
"Wat was zo indrukwekkend daaraan?", "char-offset:48981", "length:33", "emotion:Ontzag"
"Indrukwekkend is", "char-offset:49018", "length:16", "emotion:Ontzag"
"Was dat angstaanjagend", "char-offset:50215", "length:22", "emotion:Angst"
"de angst van je afzetten", "char-offset:50359", "length:24", "emotion:Angst"
"Je kunt niet de hele tijd bang zijn", "char-offset:50403", "length:35", "emotion:Angst"
"Je kunt niet de hele tijd je inspannen en angstig wezen", "char-offset:50524", "length:55", "emotion:Angst"
"Dan ga je je ook opwinden en daar wordt je doodmoe van", "char-offset:50581", "length:54", "emotion:Opwinding"
"Houdt handen verwerend op", "char-offset:51680", "length:25", "emotion:Verontschuldiging"
"We doen het niet meer, het is te gevaarlijk", "char-offset:51708", "length:43", "emotion:Verontschuldiging"
"Glimlacht trots", "char-offset:51861", "length:15", "emotion:Trots"
"Ging op goed geluk", "char-offset:52694", "length:18", "emotion:Relativering"
"En we hebben natuurlijk ontzettend geluk gehad", "char-offset:52736", "length:46", "emotion:Relativering"
"Geluk", "char-offset:14047", "length:5", "emotion:Relativering"
"Dat is natuurlijk helemaal niet gevaarlijk", "char-offset:54053", "length:42", "emotion:Relativering"
"Dan gaat het fout. Het had helemaal verkeerd kunnen lopen", "char-offset:54219", "length:57", "emotion:Angst?"
"er zijn een aantal gevallen waarvan je zegt ‘daar zijn we goed af gekomen’", "char-offset:54283", "length:74", "emotion:Opluchting"
"Niet door verstand, maar wel door geluk", "char-offset:54359", "length:39", "emotion:Relativering"
"En daar ben ik niet in teleurgesteld", "char-offset:55308", "length:36", "emotion:Trots"
"Dat kon ik heel goed", "char-offset:55641", "length:20", "emotion:Trots"
"Dat is ook heel gek", "char-offset:56173", "length:19", "emotion:Verbazing"
"En dat is heel raar", "char-offset:56256", "length:19", "emotion:Verbazing"
"Haalt schouders op", "char-offset:30401", "length:18", "emotion:Verbazing/onverschilligheid"
"ik heb altijd gehad respect voor mensen", "char-offset:62483", "length:39", "emotion:Respect"
"is een ónzinverhaal", "char-offset:62808", "length:19", "emotion:Verontwaardiging"
